rank,risk_id,cluster_id,title,risk_category,business_function,event_type,primary_asset_or_service,score_used,likelihood_used,impact_used,risk_score_baseline,risk_score_adjusted,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary,impact_narrative,evidence_count,start_date,end_date,publishers,urls_sample,impact_keywords,entity_summary,cluster_summary
11,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000048,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Low,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-10-10 to 2025-10-10 across 1 source(s). Representative sources: The Fight Against Ransomware Heats Up on the Factory Floor - Dark Reading,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-10-10,2025-10-10,Dark Reading,https://news.google.com/rss/articles/CBMikwFBVV95cUxPMXY1YmZRdmpST0Vsc2FsMmRoOGJXU2FHVUlrWTJNUlpacm9JZXhLREhteE5xbUFranhpZUdWUUZmQlNEMWRsVFJrNWtHZ3dBcnZBbkVUdG9vODBDTEpjbklpVHN3WlZpMThMa1Q5UnZzbVpkVW1mbmJOWUtLQVlEZnAxU1pHa2xzNzRZc1NYT1VkNkk?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
12,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000073,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Low,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-11-07 to 2025-11-07 across 1 source(s). Representative sources: TRACKING RANSOMWARE : OCTOBER 2025 - cyfirma,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-11-07,2025-11-07,cyfirma,https://news.google.com/rss/articles/CBMidEFVX3lxTE9NRFY5Vm5lcm9mVlBtTGFHZGRDSzNkWW9FMlAydl81OThPR0JtZXFJTGZ4Z3oyNkd2MlhPVnNXUWNXYU5SaUNHbGN6WkUtSmhCVTg2Y0dLS05RUmN2VFdFQnRjYlRMS2VzTHpjYkI4eEhjWG1P?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
13,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000122,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Low,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-02-10 to 2026-02-10 across 1 source(s). Representative sources: Top 10 ransomware targets by industry - TechTarget,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2026-02-10,2026-02-10,TechTarget,https://news.google.com/rss/articles/CBMimgFBVV95cUxOb1p6dmFpcThQWDNBenpmV05wWUZJWlprcVV0REZlWGJiM0Y0akdudjNFUVM3Z2t4TlVHb3NycWFWTGM1bHdmcFlib0NEX2s0anpRWlVISlNnUHUzUnMtUHkwaUJEWHEyTmJReXVGbEN6QjZsTjRTNzFETmdXMDBkNmZyeVBnNnNUWGptOG82VlhScmRkcHMxRzdB?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
14,RISK-SECURITY_RANSOMWARE-UNKNOWN-4C1818DC,CL-000197,Ransomware disrupts operations and recovery capabilities,Cyber,Vendor Risk,SECURITY_RANSOMWARE,UNKNOWN,10,2,5,10,,Weak,Low,False,,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Vendor Risk. Evidence window: 2026-04-22 to 2026-04-22 across 1 source(s). Representative sources: Extensive Citizens Financial Group, Frost Bank breaches claimed by Everest ransomware - SC Media","SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Vendor Risk, causing operational delays and recovery complications.",1,2026-04-22,2026-04-22,SC Media,https://news.google.com/rss/articles/CBMitAFBVV95cUxPVjM4dDFZdTNuU0wyRkNNb08xWFE5RzZubE5IOXJ1SmI4Vm1Gc0piVXNMRW91Z2xJbEtXNlFzQXh2aFlhZWZKVy03WG14eTN5MkZEd1VXdUpNbVJ4a3lfajhaVXV1czZMOVhIekZKRmllQXFPMmtCeVNjM2lzU3lkcmhaNUoxc1hFMjl5dkxRbTlFUjJoNXhhb0ZNYnZWVjV4OW1hRTFzU3lFOXFPU1VIdnMwbjY?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Vendor Risk.
15,RISK-UNKNOWN-CLOUD-24D5C319,CL-000108,UNKNOWN risk affects Network Infrastructure,Technology,Network Infrastructure,UNKNOWN,cloud,9,3,3,9,,Weak,High,False,,Review controls and implement appropriate mitigations,,Risk signal (Weak): UNKNOWN affecting cloud in Network Infrastructure. Evidence window: 2026-01-25 to 2026-01-25 across 1 source(s). Representative sources: Network Packet Loss & Latency Monitoring on Roblox Cloud - Roblox,"UNKNOWN affecting cloud can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2026-01-25,2026-01-25,Roblox,https://news.google.com/rss/articles/CBMinAFBVV95cUxOaGtsOHNmay1YblU1SlJxSWpBWUNaVWxtdDNMU1F4YUZhZEpIc2xhZjNIUHBMc2t6ZmpDYUxQWmVnRUpra1RDdWJuZmJodVVzQ2ktdERCOFpyaFlhRHJJWDZ5bXFPdzBZb0UtNnZEa0xWamt4N2RLNjh5ajZEOFJXVExXd25GWFp1QlkweExBeHFITkpmY21RdzJqcXI?oc=5,latency,,UNKNOWN affecting cloud in Network Infrastructure.
16,RISK-OUTAGE_APPLICATION-SYSTEMS-3F520A3A,CL-000029,Critical application outage disrupts business operations,Technology,Order Processing,OUTAGE_APPLICATION,systems,8,2,4,8,,Weak,Medium,False,,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,"Risk signal (Weak): OUTAGE_APPLICATION affecting systems in Order Processing. Evidence window: 2025-08-28 to 2025-08-28 across 1 source(s). Representative sources: Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News | Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News","OUTAGE_APPLICATION affecting systems can disrupt Order Processing, causing operational delays and recovery complications.",1,2025-08-28,2025-08-28,Clemson News,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTHJyNXhHR1lZWl9JV2pfWENfRGcyUURUblNxUzhvTUNXRF9HamZBWTMycFRIaXgzNEpOWkRQMTJYVklzNk8ySXJXVF9ucTQwbkVCbHZ4cWpGMWJOZk1yam1keG13amJrbEZ2aUVPWGVULUFsV2tIZmx2cmlYdUdsYzZQMUhvdzAzN2IzMy1ZeGFvdWNFS19JQ0lMYW1STEdnNGtTSUU1em9mOFNYVjNTcA?oc=5,outage,,OUTAGE_APPLICATION affecting systems in Order Processing.
17,RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,CL-000061,Cloud region outage disrupts hosted workloads,Technology,Order Processing,OUTAGE_CLOUD_REGION,cloud,8,2,4,8,,Weak,Medium,False,,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Order Processing. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: AWS October 2025 Outage: What Financial Executives Must Learn About Cloud Risk Management - Financial Executives International,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Order Processing, causing operational delays and recovery complications.",1,2025-10-21,2025-10-21,Financial Executives International,https://news.google.com/rss/articles/CBMiogFBVV95cUxQc014MEJiUzMtdGIyYkhmcndfS0wxOHU4RFY0YUQyeUx5ZTdNblRmaUFHQ01uRFgtSU5mRXRFVEc3cC1vVDZuT29WeVJGWHFYTnM4MGtiVkc3LUhXSWdxYXlxcVkzZWctZkhLSVhxQTA5VkJJNjI5X1lwNVZ1WWtVUUIyMG9aYjVsLS1ldzhJdmktRE5iOE1uM0dLN1lIeDRiU0E?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Order Processing.
18,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000062,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,8,2,4,8,,Weak,Medium,False,,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-21,2025-10-21,Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxOeE4ycmlacV9XMzUzeE83dnZlcUV4c3RBNXJkMlhkSUxaTmhKQjNyV0dDbTJWRW9nUE8teU1MczY0dTZKUFVkSW9jNnJHVVFlQkhQNklXNlV0bkx1dy1STk9lZjM0ZE1JMVFnbmdzdGltRU1Wd21Nbm9GUDFqZmhpWmJGaER4ZGRxOFNfYzNvNmN6ZEFZYTdJVkdsdjRDbWZnRHlhbmh1NXpjdzFuNjBLeldkd3ZramM?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.
19,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000068,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,8,2,4,8,,Weak,Medium,False,,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-29 to 2025-10-29 across 1 source(s). Representative sources: Microsoft Azure outage today: Technology company says it has deployed a fix for cloud service experiencing issues - ABC7 Los Angeles,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-29,2025-10-29,ABC7 Los Angeles,https://news.google.com/rss/articles/CBMiugFBVV95cUxNc1EycG1yZm56MkNheDNGbXpjS0E0Vk1DVGlSSllPME5rTzNMczkwa0d3MU1Hc1lSNURIMUdqRWxqb1M4TDJMdWp3UlZ1a1NWRy1SYzdSOFVuc0RFbTYzR2dvc0NydFBUZGRKdlRHX2JfSnUySnZxOThCQTVVWEVMbWNIWDJwVENnYktra3JCY3pRSzcyTXY4Q2pVTm9DS2VGTG4ycVZhYldmbG45SXd0ZHJTc0JtLVZFTVHSAb8BQVVfeXFMTnI1ejRKQ09KOUpTV29PMHpWTElHS3lEZkRpUUc4Q0F5WTd2cU9WQ3V2bEdVVEZPQjNnRnMxNkJlNnpBVkJZaHcyMmZua21IS3RleTNaamdJaUpEdTBLVXhmeUgtX3FVTll5V09uejBNbzF1N1l5eUc3cUt3dzJDTXpqZFI0Zk5aNGhLajdkR3QwZ3BEVjE5R2x2UHFHdkpyN3lJVXlkbEh6WURscW90Y19xeGxmTFJWa25sVkF5NFU?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.
20,RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,CL-000084,Network outage disrupts connectivity to critical services,Technology,Supplier Integration,OUTAGE_NETWORK,network,8,2,4,8,,Weak,Medium,False,,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Supplier Integration. Evidence window: 2025-12-05 to 2025-12-05 across 1 source(s). Representative sources: Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying,"OUTAGE_NETWORK affecting network can disrupt Supplier Integration, causing operational delays and recovery complications.",1,2025-12-05,2025-12-05,Simple Flying,https://news.google.com/rss/articles/CBMia0FVX3lxTFBpd09hZW5oTXRDSno1RlBlSnBnMjFJRFA0dGVRamNmZFd5LUdxWGJrYzQ2b2dTY1Riakt5UTVsRTEzOVZWWVpndlFxWEJnVlZqS0FoQjRWS0tsU0d2MUxqS0tyWUREZWQ0TnBn?oc=5,outage,,OUTAGE_NETWORK affecting network in Supplier Integration.
